CMDLINE 'C:\Program Files\Python310\python.exe' __projekt.py
MEM 2.605469 1699429329.8644
MEM 9.667969 1699429329.9652
MEM 13.695312 1699429330.0725
MEM 16.308594 1699429330.1817
MEM 20.179688 1699429330.2911
MEM 24.062500 1699429330.4002
MEM 27.351562 1699429330.5102
MEM 30.535156 1699429330.6222
MEM 32.414062 1699429330.7322
MEM 35.468750 1699429330.8442
MEM 39.230469 1699429330.9554
MEM 39.457031 1699429331.0665
MEM 39.457031 1699429331.1748
MEM 39.457031 1699429331.2835
MEM 39.457031 1699429331.3915
MEM 39.457031 1699429331.4995
MEM 39.457031 1699429331.6086
MEM 39.457031 1699429331.7166
MEM 39.457031 1699429331.8252
MEM 39.457031 1699429331.9335
